"","Amblypsilopus simplex","Apis mellifera","Atrichopogon yamabukiensis","Cardiophorus sp.1","Chalybion madecassum","Chrysomya megacephala","Cinnyris dussumieri","Coccinellidae sp.2","Coccinellidae sp.3","Cossonini sp.1","Cossonini sp.2","Cratopus aurostriatus","Cryptophagidae sp.2","Dasyhelea tamsi","Delta alluaudi","Dermestidae sp.1","Dichaetomyia fasciculifera","Drosophila spinipes","Eudaeus sp.","Figitidae sp.1","Forcipomyia sp.1","Forcipomyia amieuensis","Forcipomyia litoraurea","Geron seychellarum","Hapalips sp.1","Hemipyrellia germana","Hymenoptera sp.1","Lasioglossum mahense","Leptotes pirithous","Lobosciara bilotata","Lygistorrhina sp.","Melanostoma annulipes","Mordellistena coleae","Musca domestica","Eurycratus sp.1","Nitidulidae sp.1","Ornidia obesa","Pachycerina seychellensis","Phelsuma sp.","Platygastridae sp.1","Polistes olivaceus","Rhiparida seychellensis","Scaptodrosophila sp.1","Scaptodrosophila sp.2","Sciaridae sp.1","Scolytidae sp.3","Simosyrphus aegyptius","Smitta mahensis","Staphylinidae sp.1","Thripomorpha rufithorax"
"Alstonia macrophylla",0,7,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cinnamomum verum",0,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"Colea seychellarum",0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dillenia ferruginea",0,40,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0
"Erythroxylum sechellarum",1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,39,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Excoecaria benthamiana",0,20,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0
"Memecylon elaeagni",0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
"Nephrosperma vanhoutteanum",0,59,0,10,0,0,0,0,0,0,0,0,0,2,0,29,0,0,0,0,3,1,0,2,0,0,0,125,0,0,2,0,0,1,0,0,0,0,0,0,1,18,0,2,0,0,0,0,0,0
"Paragenipa lancifolia",0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peponidium carinatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phoenicophorium borsigianum",0,50,1,51,0,6,0,0,0,20,5,1,27,13,0,69,13,0,0,0,3,0,3,0,18,2,0,150,0,9,3,2,1,0,1,47,0,0,0,2,0,88,9,22,3,0,0,0,0,4
"Psychotria pervillei",0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pyrostria bibracteata",0,24,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"Roscheria melanochaetes",0,5,3,45,0,0,0,0,0,4,4,0,0,12,0,8,2,0,1,0,40,0,0,0,3,0,0,1,0,18,2,0,0,0,0,0,0,4,0,0,0,5,4,1,5,0,0,0,0,0
"Soulamea terminalioides",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
