"","Amblypsilopus simplex","Apis mellifera","Atrichopogon yamabukiensis","Bradysia ocellaris","Cardiophorus sp.1","Cecidomyiidae sp.1","Cephonodes tamsi","Ceratina tabescens","Chalicodoma disjuncta","Chalybion madecassum","Chironomus sp.","Chrysomya megacephala","Cinnyris dussumieri","Cossonini sp.1","Cratopus aurostriatus","Cryptophagidae sp.1","Dasyhelea tamsi","Delta alluaudi","Dermestidae sp.1","Dichaetomyia fasciculifera","Dolichopodidae sp.1","Eilema contorta","Eilema sp.1","Forcipomyia sp.1","Forcipomyia amieuensis","Forcipomyia litoraurea","Geron seychellarum","Hapalips sp.1","Hasinamelissa sp.","Hemidactylus frenatus","Hemipyrellia germana","Lasioglossum mahense","Lobosciara bilotata","Lygistorrhina sp.","Mabuya seychellensis","Megachile seychellensis","Mordellistena coleae","Musca domestica","Eurycratus sp.1","Nitidulidae sp.1","Ornidia obesa","Pachycerina seychellensis","Parasarcophaga hirticeps","Phelsuma sp.","Physiphora azurea","Polemistus sp.1","Polistes olivaceus","Rhiparida seychellensis","Rhopalum seychellense","Rhynchium brunneum","Scaptodrosophila sp.1","Scaptodrosophila undet sp.2","Sciaridae sp.1","Scolytidae sp.2","Simosyrphus aegyptius","Staphylinidae sp.1","Thripomorpha rufithorax","Tricimba seychellensis","Xylocopa caffra"
"Campnosperma seychellarum",2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,2,0,0,2,2,0,0,0,0,0,5,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0
"Dillenia ferruginea",1,114,0,0,0,0,0,0,0,0,0,0,6,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,41,0,0,0,0,0,1,5,0,7,1,0,0,0,0,0,1,1,0,0,0,0,1,0,4,0,0,1
"Erythroxylum sechellarum",0,91,0,0,0,0,0,0,2,1,1,0,0,0,2,0,1,24,0,0,0,0,0,0,2,0,0,0,23,0,0,117,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
"Ixora pudica",0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"Memecylon elaeagni",0,28,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"Nepenthes pervillei",2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,1,0,0,2,0,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Nephrosperma vanhoutteanum",2,194,3,0,0,0,0,5,0,0,0,7,0,4,23,0,12,0,75,0,0,0,0,18,11,0,2,1,0,0,14,310,2,29,0,2,0,4,0,1,0,0,1,4,0,0,4,69,0,0,6,2,11,0,0,0,1,6,0
"Paragenipa lancifolia",0,50,1,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4
"Psychotria pervillei",0,13,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,1,0,0,2,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0
"Pyrostria bibracteata",0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roscheria melanochaetes",0,2,5,4,2,6,0,0,0,0,0,3,0,0,0,0,16,0,1,0,0,0,0,40,7,6,0,0,0,0,0,10,2,2,0,0,3,0,0,1,0,1,0,1,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0
"Soulamea terminalioides",0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0
"Timonius flavescens",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
