"","Andrena flavipes","Andrena nigroaenaea","Andrena rhyssonota","Anthophora dispar","Anthophora hispanica","Apis mellifera","Bombylius sp.","Bombylius torquatus","Conopidae sp.","Dasypoda albimana","Empis sp.","Empis testacea","Eristalis similis","Eucera chrysopyga","Eucera sp.","Flavipanurgus venustus","Heliotaurus ruficollis","Lasioglossum imminutus","Lasioglossum malachurum","Mycterus curculioides","Panurgus calcaratus","Panurgus dargius","Xylocopa cantabrita"
"Cistus crispus",0,0,0,0,0,13,0,0,0,3,0,0,0,4,0,42,0,0,2,0,0,0,0
"Cistus ladanifer",2,0,0,0,4,22,0,0,0,0,1,1,3,0,0,0,0,0,3,0,0,0,0
"Cistus monspeliensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
"Cistus salvifolius",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Echium plantagineum",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lavandula stoechas",0,0,0,5,0,36,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,9
"Ranunculus sp.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Rosmarinus officinalis",0,0,0,0,0,132,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"Thapsia villosa",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
