"","Ancistrocerus gazella","Ancistrocerus reconditus","Andrena hispania","Andrena sp.","Apis mellifera","Bombylella atra","Bombylius sp.","Ceratina cucurbitina","Cerceris sp.1","Dasypoda cingulata","Flavipanurgus venustus","Lasioglossum sexnotatum","Lomatia sp.1","Megascolia maculata","Merodon sp.","Musca sp.","Nomada melathoracica","Nomada merceti","Nomada sp.","Panurgus cephalotes","Pelecocera tricincta","Systoechus sp.1","Usia sp.","Xylocopa cantabrita"
"Asphodelus fistulosus",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Chamaemelum fuscatum",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"Cistus crispus",1,1,4,0,5,0,2,0,0,0,4,0,0,0,0,0,2,0,0,3,0,0,3,0
"Cistus ladanifer",0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"Cistus salvifolius",0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
"Halimium commutatum",0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4
"Lavandula pedunculata",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Lavandula stoechas",0,0,2,0,244,0,0,4,0,3,0,0,0,0,0,0,0,2,6,0,0,6,0,0
"Ranunculus sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Rosmarinus officinalis",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thapsia villosa",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ulex australis",0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
