"","Andrena sp.","Andrena vulpecula","Apis mellifera","Bombus terrestris","Bombylidae sp.1","Bombylius sp.","Ceratina sp.","Colletes nigricans","Dasypoda cingulata","Dasypoda sp.","Dischistus senex","Eristalis tenax","Eucera sp.","Flavipanurgus venustus","Lasioglossum albocinctum","Lasioglossum imminutus","Malachius sp.1","Osmia submicans","Sphaerophoria scripta","Xylocopa cantabrita"
"Calendula arvensis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Cistus crispus",0,0,5,0,0,0,0,0,4,0,0,0,0,34,0,0,0,0,2,0
"Cistus salvifolius",0,0,4,0,0,0,0,0,0,1,0,2,2,0,3,3,1,0,0,0
"Halimium commutatum",0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lavandula pedunculata",0,0,6,0,4,3,0,2,0,0,3,0,0,0,0,0,0,0,0,0
"Lavandula stoechas",0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rosmarinus officinalis",0,1,76,12,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,4
"Tuberaria guttata",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Ulex australis",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
