"","Anthophora dispar","Apis mellifera","Bombus terrestris","Ceratina cucurbitina","Dasypoda cingulata","Empis sp.1","Heliotaurus ruficollis","Lasioglossum albocinctum","Lasioglossum imminutus","Lasioglossum malachurum","Lasioglossum sp.","Lasioglossum tridivisus","Lomatia sp.1","Panurgus banksianus","Pieris brassicae","Pseudoanthidium melanorum"
"Andryala integrifolia",0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
"Cistus salvifolius",0,11,0,1,0,1,2,0,1,2,0,0,0,0,0,2
"Echium plantagineum",0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0
"Halimium commutatum",0,3,0,0,0,0,0,0,0,0,1,0,0,0,3,0
"Lavandula pedunculata",0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leontodon longirostris",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Rosmarinus officinalis",2,6,6,0,0,0,0,0,3,1,0,0,0,0,1,0
"Tuberaria guttata",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Ulex australis",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
